id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
1291546,霸王别姬,,https://dou.img.lithub.cc/movie/1291546.jpg,1993-07-26(中国大陆),https://movie.douban.com/subject/1291546/,9.6,"剧情,爱情,同性",4,虽然没看懂，先给个评分先,,2024-09-02 19:55:26,1993 / 中国大陆 中国香港 / 剧情 爱情 同性 / 陈凯歌 / 张国荣 张丰毅
3395373,蝙蝠侠：黑暗骑士崛起,,https://dou.img.lithub.cc/movie/3395373.jpg,2012-08-27(中国大陆),https://movie.douban.com/subject/3395373/,8.9,"剧情,动作,科幻",5,"看得我热血沸腾，最后的反转出人意料。最近的河北小孩骑行被身亡案看到一条评论：“要我是妻子，检察院／法院的或者骑行团的，多少带走一个。
毕竟在外没了收入来源，白血病也治不起，进监狱还能免费给基础放化疗[doge]”才知道为何为什么有人想让哥谭毁灭",,2024-09-02 18:42:41,2012 / 美国 英国 / 剧情 动作 科幻 惊悚 犯罪 / 克里斯托弗·诺兰 / 克里斯蒂安·贝尔 汤姆·哈迪
26357307,花木兰,,https://dou.img.lithub.cc/movie/26357307.jpg,2020-09-11(中国大陆),https://movie.douban.com/subject/26357307/,4.9,"动作,冒险,古装",4,好康吗？“不知木兰是女郎”完全改编这一部分，而变成了追求真我的女性英雄的故事。喜欢说故事娓娓道来的节奏，就是皇帝有点太傻了。,,2024-08-12 12:40:52,2020 / 美国 中国香港 / 动作 冒险 古装 / 妮琪·卡罗 / 刘亦菲 甄子丹
1303031,教室别恋,,https://dou.img.lithub.cc/movie/1303031.jpg,1995-11-03(瑞典),https://movie.douban.com/subject/1303031/,7.2,"剧情,爱情,情色",3,好落魄的丝袜推销员丈夫,,2024-08-05 00:36:59,1995 / 瑞典 丹麦 / 剧情 爱情 情色 战争 / 波·维德伯格 / 约翰·维德伯格 马莉卡·拉格尔克朗斯
36463483,白蛇：浮生,,https://dou.img.lithub.cc/movie/36463483.jpg,2024-08-10(中国大陆),https://movie.douban.com/subject/36463483/,7,"喜剧,爱情,动画",3,emmm动画像是10年前的水平,,2024-08-04 18:15:44,2024 / 中国大陆 / 喜剧 爱情 动画 奇幻 / 陈健喜 李佳锴 / 张喆 杨天翔
1309069,蝙蝠侠：侠影之谜,,https://dou.img.lithub.cc/movie/1309069.jpg,2005-06-29(中国大陆),https://movie.douban.com/subject/1309069/,8.6,"剧情,动作,科幻",5,复仇之战很爽，坦克很帅，爽文男主,,2024-08-04 18:14:43,2005 / 美国 英国 / 剧情 动作 科幻 惊悚 犯罪 / 克里斯托弗·诺兰 / 克里斯蒂安·贝尔 迈克尔·凯恩
3053521,二十四城记,,https://dou.img.lithub.cc/movie/3053521.jpg,2009-06-03(中国大陆),https://movie.douban.com/subject/3053521/,7.4,剧情,4,"开始打开24城的我，并非被某一项东西所吸引，贾樟柯这个符号确实说不上难看，但也没有那么吸引人，影片开头又看到赵涛，我感觉情况不妙。我对他的感觉就是上个世纪，乡土中国，不是说一定要看这些，而是我们有责任去了解上一代人生长的世界是怎么样的，他们为什么做出他们的选择。00后的世界确实和他们完全不同，但是啊，世界还是由上个世纪的人主导的。就拿大洋彼岸的拜登和川普来说，还是上世纪40年代的。

这个中国变化的是更快了，历史的潮流浩浩荡荡，短短30年走完了工业化，城市化和现代化。而发展的背后，就是消失，当然也包括这个420厂。

我是影片最后几分钟才知道二十四城名称的由来，华润二十四城，位于成华区，原成发集团。然后才是赵涛出现，演得痕迹太刻意了，特别是那个小汽车，我不知道想要表达什么，但我觉得肯定有比这",,2024-07-16 22:50:03,2008 / 中国大陆 中国香港 日本 / 剧情 / 贾樟柯 / 吕丽萍 陈冲
26336281,纸牌屋 第四季,,https://dou.img.lithub.cc/movie/26336281.jpg,2016-03-04(美国),https://movie.douban.com/subject/26336281/,8.8,"剧情,惊悚",5,S4E4，Underwood遇刺,,2024-07-14 23:13:06,2016 / 美国 / 剧情 惊悚 / 塔克·盖茨 罗宾·怀特 汤姆·森兰 艾利克斯·格雷夫斯 卡莉·斯考格兰德 雅各布·维尔布鲁根 / 凯文·史派西 罗宾·怀特
26683290,你的名字。,,https://dou.img.lithub.cc/movie/26683290.jpg,2016-12-02(中国大陆),https://movie.douban.com/subject/26683290/,8.5,"剧情,爱情,动画",5,印象深刻 悸动的心,,2024-06-16 20:09:01,2016 / 日本 / 剧情 爱情 动画 / 新海诚 / 神木隆之介 上白石萌音
1828115,色，戒,,https://dou.img.lithub.cc/movie/1828115.jpg,2007-11-01(中国大陆),https://movie.douban.com/subject/1828115/,8.7,"剧情,爱情,情色",5,华语片唯一的神,,2024-06-16 20:07:54,2007 / 中国台湾 中国大陆 美国 中国香港 / 剧情 爱情 情色 / 李安 / 梁朝伟 汤唯
25983044,比利·林恩的中场战事,,https://dou.img.lithub.cc/movie/25983044.jpg,2016-11-11(中国大陆),https://movie.douban.com/subject/25983044/,8.3,"剧情,战争",4,oh god,,2024-06-16 20:07:31,2016 / 美国 英国 中国大陆 / 剧情 战争 / 李安 / 乔·阿尔文 加内特·赫德兰
27172891,大象席地而坐,,https://dou.img.lithub.cc/movie/27172891.jpg,2018-02-16(柏林电影节),https://movie.douban.com/subject/27172891/,8.1,剧情,5,死亡比活着更伟大,,2024-06-16 20:05:40,2018 / 中国大陆 / 剧情 / 胡波 / 彭昱畅 章宇
26419637,误杀瞒天记,,https://dou.img.lithub.cc/movie/26419637.jpg,2022-04-15(中国大陆),https://movie.douban.com/subject/26419637/,8.6,"剧情,悬疑,犯罪",5,棒！,,2024-06-16 20:04:58,2015 / 印度 / 剧情 悬疑 犯罪 / 尼西卡特·卡马特 / 阿贾耶·德乌干 塔布
5294851,控方证人,,https://dou.img.lithub.cc/movie/5294851.jpg,1982-12-04(美国),https://movie.douban.com/subject/5294851/,9.4,"剧情,悬疑,犯罪",5,经典永不过时 反转出人意料,,2024-06-16 20:04:12,1982 / 美国 英国 / 剧情 悬疑 犯罪 / 艾伦·吉布森 / 拉尔夫·理查德森 黛博拉·蔻儿
4811813,独立日2：卷土重来,,https://dou.img.lithub.cc/movie/4811813.jpg,2016-06-24(中国大陆),https://movie.douban.com/subject/4811813/,5.7,"动作,科幻,冒险",1,中考结束的暑假看的，已不记得剧情，只记得失望,,2024-06-16 20:01:41,2016 / 美国 / 动作 科幻 冒险 / 罗兰·艾默里奇 / 利亚姆·海姆斯沃斯 杰夫·高布伦
1293013,独立日,,https://dou.img.lithub.cc/movie/1293013.jpg,1996-07-02(加拿大),https://movie.douban.com/subject/1293013/,8.1,"动作,科幻,冒险",5,噢老天 这真是神作。外星飞艇，神秘又热血，惊心动魄的英雄主义,,2024-05-15 15:01:50,1996 / 美国 / 动作 科幻 冒险 灾难 / 罗兰·艾默里奇 / 威尔·史密斯 杰夫·高布伦
